

------------------- CYCLE: 1
-- SCATTER
scatter | en: -3.25623
loop: 17 | en_min: -3.34146, en_found: -3.34792
loop: 49 | en_min: -3.34792, en_found: -3.35192
-- STAGE 2
loop: 1 | en_min: -3.35192, en_found: -3.55738
loop: 2 | en_min: -3.55738, en_found: -3.80528
loop: 13 | en_min: -3.80528, en_found: -3.82193
loop: 34 | en_min: -3.82193, en_found: -3.83044
loop: 35 | en_min: -3.83044, en_found: -3.86131
loop: 39 | en_min: -3.86131, en_found: -3.87237
loop: 53 | en_min: -3.87237, en_found: -3.88019
loop: 57 | en_min: -3.88019, en_found: -3.88475
loop: 59 | en_min: -3.88475, en_found: -3.90426
loop: 76 | en_min: -3.90426, en_found: -3.90747
loop: 77 | en_min: -3.90747, en_found: -3.94158
loop: 84 | en_min: -3.94158, en_found: -3.94803
loop: 91 | en_min: -3.94803, en_found: -3.9907
loop: 97 | en_min: -3.9907, en_found: -4.03823
cycle_min: -4.03823


------------------- CYCLE: 10
-- SCATTER
scatter | en: -2.27803
-- STAGE 1
loop: 1 | en_min: -2.27803, en_found: -3.23727
loop: 2 | en_min: -3.23727, en_found: -3.28604
loop: 5 | en_min: -3.28604, en_found: -3.35912
loop: 36 | en_min: -3.35912, en_found: -3.36691
-- STAGE 2
loop: 1 | en_min: -3.36691, en_found: -3.73497
loop: 2 | en_min: -3.73497, en_found: -3.75672
loop: 5 | en_min: -3.75672, en_found: -3.82263
loop: 8 | en_min: -3.82263, en_found: -3.82286
loop: 11 | en_min: -3.82286, en_found: -3.84251
loop: 18 | en_min: -3.84251, en_found: -3.87527
loop: 23 | en_min: -3.87527, en_found: -3.90785
loop: 27 | en_min: -3.90785, en_found: -3.90896
loop: 43 | en_min: -3.90896, en_found: -3.92226
loop: 50 | en_min: -3.92226, en_found: -3.92357
loop: 51 | en_min: -3.92357, en_found: -3.94538
loop: 65 | en_min: -3.94538, en_found: -3.97158
loop: 76 | en_min: -3.97158, en_found: -3.97734
loop: 82 | en_min: -3.97734, en_found: -4.02175
loop: 125 | en_min: -4.02175, en_found: -4.03074
loop: 166 | en_min: -4.03074, en_found: -4.03637
cycle_min: -4.03637


RESULTS:
1: -3.97341
2: -4.04893
3: -3.98013
4: -4.01284
5: -3.94578
6: -3.94953
7: -3.98383
8: -3.8662
9: -4.03823
10: -4.03637

TOTAL MIN:
2: -4.04893
