

------------------- CYCLE: 1
-- SCATTER
scatter | en: 1.49888
loop: 889 | en_min: -4.54203
loop: 930 | en_min: -4.65168
loop: 948 | en_min: -4.71961
loop: 1043 | en_min: -4.77467
loop: 1102 | en_min: -4.81406
loop: 1146 | en_min: -4.94467
loop: 1197 | en_min: -4.96118
loop: 1224 | en_min: -5.07167
loop: 1236 | en_min: -5.24229
loop: 1294 | en_min: -5.34983
loop: 1463 | en_min: -5.41595
loop: 1478 | en_min: -5.42545
loop: 1674 | en_min: -5.44459
loop: 1792 | en_min: -5.51163
cycle_min: -5.51163


------------------- CYCLE: 10
-- SCATTER
scatter | en: -2.35437
-- STAGE 1
loop: 1 | en_min: -2.7968
loop: 3 | en_min: -3.13194
loop: 7 | en_min: -3.23055
loop: 10 | en_min: -3.26461
loop: 12 | en_min: -3.27307
loop: 60 | en_min: -3.27832
loop: 61 | en_min: -3.36483
loop: 73 | en_min: -3.38412
loop: 579 | en_min: -3.41016
loop: 643 | en_min: -3.444
loop: 820 | en_min: -3.44912
loop: 884 | en_min: -3.49237
loop: 995 | en_min: -3.53609
-- STAGE 2
cycle_min: -3.53609


RESULTS:
1: -4.85645
2: -5.96521
3: -4.70952
4: -5.96044
5: -5.92672
6: -6.17924
7: -4.56173
8: -5.31645
9: -5.51163
10: -3.53609

TOTAL MIN:
6: -6.17924
