

------------------- CYCLE: 1
-- SCATTER
cycle_min: -6.47631


RESULTS:
1: -5.77787
2: -6.52581
3: -7.4712
4: -6.45484
5: -7.16245
6: -6.85029
7: -7.39387
8: -7.08233
9: -6.24002
10: -6.47631

TOTAL MIN:
3: -7.4712
