

------------------- CYCLE: 1
-- SCATTER
loop: 132 | en_min: -7.14864
loop: 189 | en_min: -7.18043
loop: 191 | en_min: -7.20808
loop: 192 | en_min: -7.37863
loop: 201 | en_min: -7.66511
loop: 207 | en_min: -7.83874
loop: 246 | en_min: -8.02127
loop: 248 | en_min: -8.22821
loop: 306 | en_min: -8.44294
loop: 350 | en_min: -8.58136
loop: 489 | en_min: -8.7174
loop: 495 | en_min: -8.82245
cycle_min: -8.82245


------------------- CYCLE: 11
-- SCATTER
scatter | en: -5.77299
-- STAGE 1
loop: 4 | en_min: -5.89633
loop: 25 | en_min: -5.96674
loop: 39 | en_min: -6.03983
-- STAGE 2
loop: 82 | en_min: -6.10532
loop: 143 | en_min: -6.14243
loop: 153 | en_min: -6.27618
loop: 158 | en_min: -6.33483
loop: 163 | en_min: -6.34232
loop: 244 | en_min: -6.52503
loop: 250 | en_min: -6.72553
loop: 257 | en_min: -6.74191
loop: 283 | en_min: -6.79336
loop: 488 | en_min: -6.82697
loop: 542 | en_min: -6.83695
loop: 596 | en_min: -6.85473
cycle_min: -6.85473


------------------- CYCLE: 12
-- SCATTER
scatter | en: 9.47943
-- STAGE 1
loop: 1 | en_min: -0.294539
loop: 2 | en_min: -4.08314
loop: 3 | en_min: -5.33405
loop: 4 | en_min: -5.70534
loop: 5 | en_min: -5.73447
loop: 8 | en_min: -5.80033
loop: 10 | en_min: -6.03894
loop: 12 | en_min: -6.08411
loop: 13 | en_min: -6.32092
loop: 15 | en_min: -6.45998
loop: 95 | en_min: -6.57315
loop: 111 | en_min: -6.58217
-- STAGE 2
loop: 114 | en_min: -6.64682
loop: 361 | en_min: -6.70693
loop: 386 | en_min: -6.80324
loop: 390 | en_min: -6.83152
loop: 400 | en_min: -7.14509
loop: 424 | en_min: -7.23243
loop: 426 | en_min: -7.36253
loop: 437 | en_min: -7.47838
loop: 446 | en_min: -7.56429
loop: 452 | en_min: -7.65479
loop: 461 | en_min: -7.75437
loop: 472 | en_min: -7.82944
loop: 485 | en_min: -7.96889
loop: 487 | en_min: -8.25519
cycle_min: -8.25519


------------------- CYCLE: 13
-- SCATTER
scatter | en: -5.5683
-- STAGE 1
loop: 2 | en_min: -5.80734
loop: 3 | en_min: -5.82357
loop: 7 | en_min: -5.90823
loop: 9 | en_min: -5.94281
loop: 12 | en_min: -6.03596
loop: 15 | en_min: -6.21661
loop: 83 | en_min: -6.23681
loop: 100 | en_min: -6.26066
loop: 133 | en_min: -6.34249
loop: 135 | en_min: -6.45803
loop: 195 | en_min: -6.52398
-- STAGE 2
loop: 275 | en_min: -6.53613
loop: 371 | en_min: -6.60889
loop: 399 | en_min: -6.70945
loop: 403 | en_min: -6.84197
loop: 463 | en_min: -6.85089
loop: 504 | en_min: -6.87514
loop: 523 | en_min: -7.09103
loop: 635 | en_min: -7.30236
cycle_min: -7.30236


------------------- CYCLE: 14
-- SCATTER
scatter | en: -5.50816
-- STAGE 1
loop: 1 | en_min: -6.13145
loop: 11 | en_min: -6.15281
loop: 14 | en_min: -6.17539
loop: 17 | en_min: -6.37447
loop: 49 | en_min: -6.45756
loop: 89 | en_min: -6.47653
loop: 161 | en_min: -6.48594
loop: 187 | en_min: -6.5275
-- STAGE 2
loop: 12 | en_min: -6.72295
loop: 191 | en_min: -6.81389
loop: 203 | en_min: -7.01123
loop: 204 | en_min: -7.08657
loop: 229 | en_min: -7.12505
loop: 248 | en_min: -7.18026
cycle_min: -7.18026


------------------- CYCLE: 15
-- SCATTER
scatter | en: -5.30861
-- STAGE 1
loop: 3 | en_min: -6.10266
loop: 21 | en_min: -6.28389
loop: 42 | en_min: -6.30704
loop: 57 | en_min: -6.39643
loop: 234 | en_min: -6.40679
loop: 235 | en_min: -6.48591
-- STAGE 2
loop: 54 | en_min: -6.52291
loop: 84 | en_min: -6.5792
loop: 99 | en_min: -6.74727
loop: 239 | en_min: -6.92247
loop: 410 | en_min: -6.92692
loop: 422 | en_min: -6.92796
loop: 426 | en_min: -6.97675
loop: 455 | en_min: -7.02278
loop: 578 | en_min: -7.23858
loop: 588 | en_min: -7.26594
loop: 633 | en_min: -7.40966
loop: 641 | en_min: -7.4606
cycle_min: -7.4606


------------------- CYCLE: 16
-- SCATTER
scatter | en: -5.53402
-- STAGE 1
loop: 1 | en_min: -5.93993
loop: 2 | en_min: -6.20085
loop: 7 | en_min: -6.2883
loop: 39 | en_min: -6.31026
loop: 180 | en_min: -6.31792
loop: 273 | en_min: -6.34218
-- STAGE 2
loop: 8 | en_min: -6.39549
loop: 15 | en_min: -6.64762
loop: 23 | en_min: -6.6538
loop: 36 | en_min: -6.69787
loop: 60 | en_min: -6.76664
loop: 65 | en_min: -6.78526
loop: 68 | en_min: -6.80838
loop: 69 | en_min: -6.81616
loop: 72 | en_min: -6.90997
loop: 73 | en_min: -6.95401
loop: 74 | en_min: -6.96235
loop: 78 | en_min: -7.0485
loop: 91 | en_min: -7.32464
loop: 98 | en_min: -7.54648
loop: 128 | en_min: -7.57783
loop: 135 | en_min: -7.66345
loop: 210 | en_min: -7.72987
loop: 259 | en_min: -7.77988
loop: 306 | en_min: -7.91794
loop: 332 | en_min: -7.99965
loop: 443 | en_min: -8.04912
loop: 500 | en_min: -8.23056
loop: 523 | en_min: -8.28275
loop: 588 | en_min: -8.30892
loop: 591 | en_min: -8.37029
loop: 611 | en_min: -8.98482
cycle_min: -8.98482


